name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
The Carol Burnett Show,the-carol-burnett-show,plex-the-carol-burnett-show,60d4edd6b2fdec002c141125,,122609,,,0,1
The Conners,the-conners,plex-the-conners,6668b7a5e4f56766e556a415,,158129,,,0,1
The Design Network,the-design-network,plex-the-design-network,5f0641d3e8ffda004033b16e,,118087,,,0,0
The FBI Files,the-fbi-files,plex-the-fbi-files,6582a024a90606db3c841b1b,,151234,,,0,1
The Hill TV,the-hill-tv,plex-the-hill-tv,62c4a65788737d6edc1a3626,,128492,,,0,0
The Jamie Oliver Channel,the-jamie-oliver-channel,plex-the-jamie-oliver-channel,64b7170c4612b1f48e9ad31e,,124329,,,0,8
The Osbournes,the-osbournes,plex-the-osbournes,6515fa752ff655e77635c626,,149920,-5,,0,2
The Pet Collective,the-pet-collective-2,plex-the-pet-collective-2,5f170d61b898490041b49369,,121165,,,0,8
The Price is Right,the-price-is-right,plex-the-price-is-right,63e63d26abacad42ed3d1acd,,121659,,,0,8
The Reuters 60,the-reuters-60,plex-the-reuters-60,5eea71d65252710041e0ccbc,,131221,,,0,2
The Rifleman,the-rifleman,plex-the-rifleman,64f123008d44f2871135a905,,134959,,,0,0
The Spa,the-spa,plex-the-spa,62f11395586633e88e3a3274,,68632,,,0,0
The World Poker Tour,the-world-poker-tour-2,plex-the-world-poker-tour-2,66ad6b4fcb5d3b7fb5011c2f,,135701,,,0,1
This Old House,this-old-house,plex-this-old-house,62e3232ca105dea9c400e9fe,,120480,,,0,0
Tiny House Nation,tiny-house-nation,plex-tiny-house-nation,63c1e176f0f132afc3afbab0,,118456,,,0,1
TMZ,tmz,plex-tmz,63e2ca44203bafbef831a152,,149408,,,0,1
Today's K-Pop,todays-k-pop,plex-todays-k-pop,62ee6eae271f393d2d9f7096,,115709,,,0,0
Todo Cine,todo-cine,plex-todo-cine,644c446d7472b186783f359e,,148558,,,0,1
Todo Crimen,todo-crimen,plex-todo-crimen,666e236ace73ed6023b55a17,,151306,,,0,1
"Todo Novelas, más Pasiones",todo-novelas-mas-pasiones,plex-todo-novelas-mas-pasiones,65257cdf65486aca7aa77716,,148511,,,0,1
Toon Goggles,toon-goggles-2,plex-toon-goggles-2,5f170d60b898490041b49359,,126634,,,0,1
Top Gear,top-gear,plex-top-gear,6308f121ac9983739c8a29bd,,126329,,,0,0
Torque Presented By History,torque-presented-by-history,plex-torque-presented-by-history,63c1e64df0f132afc3afbab4,,123423,,,0,0
TRACE Brazuca,trace-brazuca,plex-trace-brazuca,6329474265c8569187176338,,124749,,,0,0
TRACE Latina,trace-latina,plex-trace-latina,63226c03e67cf9cd9011fcdf,,113402,,,0,0
TRACE Urban,trace-urban,plex-trace-urban,6322658be67cf9cd9011fcda,,71760,,,0,0
Trailer Park Boys: The SwearNet Show,trailer-park-boys-the-swearnet-show,plex-trailer-park-boys-the-swearnet-show,6348b2cb1159f6a5ce819b89,,133939,,,0,1
Transformers,transformers,plex-transformers,644a675d5b1d51b6a8d18607,,135518,,,0,0
Tribeca Channel,tribeca-channel,plex-tribeca-channel,60ede94f7da2ef002c55ce9b,,132888,,,0,1
Triton Poker,triton-poker,plex-triton-poker,678fe95d389daa346544d501,,153526,,,0,1
True Crime Now,true-crime-now,plex-true-crime-now,61ae679103baf19077bbf933,,120802,,,0,8
True History,true-history,plex-true-history,614398a08f30fa61e0da7c97,,122536,,,0,0
TV One Crime & Justice,tv-one-crime-and-justice,plex-tv-one-crime-and-justice,65282a6091e77473f1a44ff2,,145680,,,0,0
TVB Pearl Drama,tvb-pearl-drama,plex-tvb-pearl-drama,65621947b7d737841f30a4f7,,161669,,,0,1
Unbeaten,unbeaten,plex-unbeaten,633239caa6615514fb78ecf3,,129048,,,0,8
Unique Lives,unique-lives,plex-unique-lives,66a1ac4877649467da169f0a,,138033,,169646,0,1
Unsolved Mysteries,unsolved-mysteries,plex-unsolved-mysteries,6449369eb3ff17382cae5816,,137083,,,0,1
UnXplained Zone,unxplained-zone,plex-unxplained-zone,63c9773e187b3c9f3581fdf8,,123431,-5,,0,1
USA TODAY,usa-today-news,plex-usa-today-news,60df3e18541143002f3b8607,,122855,,,0,0
VICE,vice-2,plex-vice-2,62c47062085f5c338b9c6360,,135718,,,0,0
Vice News,vice-news,plex-vice-news,635ff8bb66f96b46951ab7f3,,135717,,,0,0
VR+,vr,plex-vr,65a1d3996475bf522f9256e3,,125419,,,0,1
Wanted: Dead or Alive,wanted-dead-or-alive,plex-wanted-dead-or-alive,61ddcc6023daf618ed44c29f,,122082,,,0,8
WAPA+,wapa,plex-wapa,66e0d0c4f70549a9bc1eceb0,,148054,,,0,0
Waypoint TV,waypoint-tv,plex-waypoint-tv,5fd115b8b7ef8d002dcf1817,,121424,,,0,8
WeatherSpy,weatherspy-2,plex-weatherspy-2,5f0ff266d71dcb00449ec030,,127141,-5,,0,1
Western Bound,western-bound,plex-western-bound,62316e8eb9d292cb4ad7499f,,127279,,,0,0
Wild West TV,wild-west-tv,plex-wild-west-tv,660df9e0e7dcb14697880bfb,,153591,,,0,0
WildEarth,wildearth,plex-wildearth,60d4edddb2fdec002c141135,,122534,,,0,1
Willow Sports,willow-sports,plex-willow-sports,66fbf9cf128ab3f65b259bcb,,164602,,,0,0
Wired2Fish,wired2fish,plex-wired2fish,608a2c722957c9002c6a617b,,132644,,,0,8
Women Behind Bars,women-behind-bars,plex-women-behind-bars,6502891e8ebe90c9ed73f7a0,,154619,,,0,1
Women's Sports Network,womens-sports-network,plex-womens-sports-network,630fa9e577ec3866def38fa2,,124636,,,0,0
Wonder,wonder,plex-wonder,5f74cf83ffbe690040689f4d,,131073,,,0,0
World's Most Evil Killers,worlds-most-evil-killers,plex-worlds-most-evil-killers,65829ef26b91be4547aa153a,,151232,,,0,1
Xtreme Outdoor by HISTORY,xtreme-outdoor-by-history,plex-xtreme-outdoor-by-history,5f74cf7effbe690040689f3e,,116101,,,0,0
Y2K,y2k,plex-y2k,62ee72cc271f393d2d9f7098,,68686,,,0,0
Yahoo Finance,yahoo-finance,plex-yahoo-finance,5f170f01b898490041b49dd1,,113674,,,0,1
Z Nation,z-nation,plex-z-nation,66ce3e009ac0b1441b19ca29,,163834,,,0,0
ZenLIFE by Stingray,zenlife-by-stingray,plex-zenlife-by-stingray,6642a07d0e0ec7b4ce5eb294,,146460,,,0,0
Zona Investigación,zona-investigacion,plex-zona-investigacion,65f0da6f046e6131ecc31841,,140181,,,0,1
21 Jump Street,21-jump-street-2,plex-21-jump-street-2,66f6b947515e742745f5ca34,,,,,1,2
24 Hour Free Movies,24-hour-free-movies,plex-24-hour-free-movies,5fd115bab7ef8d002dcf181d,,,,,1,2
50 Cent Action,50-cent-action,plex-50-cent-action,6827b9579beea89c38b6df55,,,,,1,2
80's Sitcom Flashback,80s-sitcom-flashback,plex-80s-sitcom-flashback,65fca98c60dc164e8f272332,,,,,1,2
Action Hollywood Movies,action-hollywood-movies,plex-action-hollywood-movies,66be944f8711311880995280,,,,,1,2
Aliwko,aliwko,plex-aliwko,64d4ee537b323f6abbd19e59,,,,,1,2
Amasian TV,amasian-tv,plex-amasian-tv,6838eb6a38304666c89d4e3d,,,,,1,2
American Gladiators by MGM,american-gladiators-by-mgm,plex-american-gladiators-by-mgm,6876f9be20555588ef322221,,,,,1,2
Ancient Aliens,ancient-aliens,plex-ancient-aliens,68161fa001a9a5584ff27e96,,,,,1,2
Anger Management en español,anger-management-en-espanol,plex-anger-management-en-espanol,64149ba2d02609d8a7127ee8,,,,,1,2
Animation+,animation,plex-animation,674f6a6cf44561420465f9f3,,,,,1,2
Anime 24/7,anime-24-7,plex-anime-24-7,686452b8fbd6d9b449de2be3,,,,,1,2
Asian Drama,asian-drama,plex-asian-drama,685f27cca7111a932d28f1ae,,,,,1,2
Aventura,aventura,plex-aventura,671c1f46572427bfa1eb7ed1,,,,,1,2
BABY SHARK TV,baby-shark-tv,plex-baby-shark-tv,60d4eddeb2fdec002c141137,,,,,1,2
Barbie and Friends by Mattel,barbie-and-friends-by-mattel,plex-barbie-and-friends-by-mattel,674487c3c583cfbd5f0e1da9,,,,,1,2
Barney and Friends,barney-and-friends,plex-barney-and-friends,671c1743128bc4121f80aef5,,,,,1,2
Bassmaster,bassmaster,plex-bassmaster,68caada21fabab6eb2e99331,,,,,1,2
Bizaar,bizaar,plex-bizaar,689e1f0dd84bfb3d54b6756f,,,,,1,2
Bizarre Foods with Andrew Zimmern,bizarre-foods-with-andrew-zimmern,plex-bizarre-foods-with-andrew-zimmern,66a2b83ef7180d8d2ca77f60,,,,,1,2
BlackPix,blackpix-2,plex-blackpix-2,62280644c9f485cc7afe8c48,,,,,1,2
Bloodline Detectives Hosted by Nancy Grace,bloodline-detectives-hosted-by-nancy-grace,plex-bloodline-detectives-hosted-by-nancy-grace,67cbd119cc5136329877e096,,,,,1,2
Bloomberg Originals,bloomberg-originals-3,plex-bloomberg-originals-3,68fafe0dae4af1c7478fbeec,,,,,1,2
Bloomberg TV,bloomberg-tv,plex-bloomberg-tv,68fafc6e558214386ab7ca3a,,,,,1,2
Bodas +,bodas,plex-bodas,671c1df4572427bfa1eb7ecf,,,,,1,2
Brat TV,brat-tv,plex-brat-tv,63d6f6c5a9e88ee909e7ee1f,,,,,1,2
Butaca TV,butaca-tv-2,plex-butaca-tv-2,67367a2d9564224797d5b59c,,,,,1,2
C4 en Alerta,c4-en-alerta,plex-c4-en-alerta,65b1568052aa31b8f64da064,,,,,1,2
Camp Spoopy,camp-spoopy,plex-camp-spoopy,6164a963766ab4f9f57e81b1,,,,,1,2
Canela.TV Clásicos,canela-tv-clasicos,plex-canela-tv-clasicos,64fba469bb3e0baa5dcc0947,,,,,1,2
CBS News Texas,cbs-news-texas,plex-cbs-news-texas,659712165dbaa285a54e89d4,,,,,1,2
Chaos on Cam by A&E,chaos-on-cam-by-aande,plex-chaos-on-cam-by-aande,67be3cc41a98aab3729899ba,,,,,1,2
Cine de Horror,cine-de-horror,plex-cine-de-horror,64e6e2f04a5e9b4cedc6d52b,,,,,1,2
Cine en Español,cine-en-espanol,plex-cine-en-espanol,64e6e46f27a915f9b5184e9a,,,,,1,2
Cine Romántico,cine-romantico,plex-cine-romantico,67db0a3892cb453db28ab020,,,,,1,2
